"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","newcreate"
"@AlishaEbrahimji @UT_Dallas @wfaa Who is the grandmaster ?",FALSE,0,"AlishaEbrahimji",2018-02-28 21:02:30,FALSE,"968916344673636352","968954587200835584","92922276","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nitinmalik01",0,FALSE,FALSE,NA,NA,2018-02-28 21:02:30
".@UT_Dallas man’s talkin mess you gonna let him do that to you? https://t.co/HgUK255I7h",FALSE,1,NA,2018-02-28 20:50:31,FALSE,NA,"968951571815043072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nipplestalker",0,FALSE,FALSE,NA,NA,2018-02-28 20:50:31
"RT @CISACNews: Regarding the new study by @UT_Dallas Ashbel Smith Professor Stan Liebowitz, @CISACnews Director General Gadi Oron said: “Th…",FALSE,0,NA,2018-02-28 20:43:06,FALSE,NA,"968949703810408449",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","IamJayPee",3,TRUE,FALSE,NA,NA,2018-02-28 20:43:06
"RT @AlishaEbrahimji: Chess master? Grandmaster chess players at @UT_Dallas are challenging other students BLINDFOLDED at a game. How cool!…",FALSE,0,NA,2018-02-28 20:42:37,FALSE,NA,"968949581118615559",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","johnmccaa",9,TRUE,FALSE,NA,NA,2018-02-28 20:42:37
"RT @AlishaEbrahimji: Chess master? Grandmaster chess players at @UT_Dallas are challenging other students BLINDFOLDED at a game. How cool!…",FALSE,0,NA,2018-02-28 20:36:39,FALSE,NA,"968948081021595648",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mexican_Reznor",9,TRUE,FALSE,NA,NA,2018-02-28 20:36:39
"RT @AlishaEbrahimji: Chess master? Grandmaster chess players at @UT_Dallas are challenging other students BLINDFOLDED at a game. How cool!…",FALSE,0,NA,2018-02-28 20:25:30,FALSE,NA,"968945276730867713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BLBlackburn",9,TRUE,FALSE,NA,NA,2018-02-28 20:25:30
"RT @UT_Dallas: Obvious first step toward getting your own Netflix comedy special https://t.co/QRIN3Qr46w",FALSE,0,NA,2018-02-28 20:21:56,FALSE,NA,"968944377912614913",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UTDSUAAB",1,TRUE,FALSE,NA,NA,2018-02-28 20:21:56
"RT @AlishaEbrahimji: Chess master? Grandmaster chess players at @UT_Dallas are challenging other students BLINDFOLDED at a game. How cool!…",FALSE,0,NA,2018-02-28 20:04:30,FALSE,NA,"968939989190037504",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","DevOpsNate",9,TRUE,FALSE,NA,NA,2018-02-28 20:04:30
"RT @AlishaEbrahimji: Chess master? Grandmaster chess players at @UT_Dallas are challenging other students BLINDFOLDED at a game. How cool!…",FALSE,0,NA,2018-02-28 20:02:09,FALSE,NA,"968939397478604802",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","PhilRoth",9,TRUE,FALSE,NA,NA,2018-02-28 20:02:09
"RT @UT_Dallas: ICYMI: Transfer students learn the ropes through peer mentor program https://t.co/ovS6BoU1gT https://t.co/4RdB8FuAZ5",FALSE,0,NA,2018-02-28 19:58:14,FALSE,NA,"968938415541620737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CTLUTD",1,TRUE,FALSE,NA,NA,2018-02-28 19:58:14
"RT @UT_Dallas: The dream is alive for @UTDALLAS_WBB!  https://t.co/w5uDPYzGVR",FALSE,0,NA,2018-02-28 19:45:07,FALSE,NA,"968935111524864000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","judubstepp",12,TRUE,FALSE,NA,NA,2018-02-28 19:45:07
"RT @UT_Dallas: Check out the chess match at  @UTDLibrary https://t.co/IsbJWRGQoB",FALSE,0,NA,2018-02-28 19:09:03,FALSE,NA,"968926036338597894",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ProfessorOfComm",3,TRUE,FALSE,NA,NA,2018-02-28 19:09:03
"RT @AlishaEbrahimji: Chess master? Grandmaster chess players at @UT_Dallas are challenging other students BLINDFOLDED at a game. How cool!…",FALSE,0,NA,2018-02-28 18:52:02,FALSE,NA,"968921753903943680",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nmconnell",9,TRUE,FALSE,NA,NA,2018-02-28 18:52:02
"@Aviatrixt @UT_Dallas @AckermanUTD Are you saying that David Hogg did not tweet this:  No-Florida 4 Spring Break?… https://t.co/4b8R8uxjRW",FALSE,0,"Aviatrixt",2018-02-28 18:48:40,TRUE,"967857237413761025","968920906713022464","14852216","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","drenamay1",0,FALSE,FALSE,NA,NA,2018-02-28 18:48:40
"RT @AlishaEbrahimji: Chess master? Grandmaster chess players at @UT_Dallas are challenging other students BLINDFOLDED at a game. How cool!…",FALSE,0,NA,2018-02-28 18:45:47,FALSE,NA,"968920181710966784",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","UTDallasNews",9,TRUE,FALSE,NA,NA,2018-02-28 18:45:47
"RT @AlishaEbrahimji: Chess master? Grandmaster chess players at @UT_Dallas are challenging other students BLINDFOLDED at a game. How cool!…",FALSE,0,NA,2018-02-28 18:42:09,FALSE,NA,"968919268363522049",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RoarkLibrary",9,TRUE,FALSE,NA,NA,2018-02-28 18:42:09
